委,위원회
局,국
电视,티비 네트
新闻,뉴스
院,원
日报,신문
政府,정부
厅,청
议会,의회
基金会,재단
视频,동영상
时报,신문
晨报,신문
快报,신문
青年报,신문
小组,조
小区,동
